Text_Generated,Language_Code,Model_Identifier,Label
"Ngokusho kukaNgqongqoshe Wezempilo uDkt. Joe Phaahla, mhla zingama-25 kuMbasa iNingizimu Afrika yaqopha ukukhula kwezigameko ezintsha ze-COVID-19 ngama-137%, uma kuqhathaniswa nezinsuku eziyisikhombisa ezedlule, okuholwa kakhulu ngamazinga aphezulu okusuleleka ezifundazweni zase-Gauteng, KwaZulu-Natali kanye naseNtshonalanga Kapa.
“I-COVID-19 isalokhu iyingozi futhi ngeke sikwazi ukuyekela zonke izindlela zokuyivikela,"" kusho uNgqongqoshe uPhaahla.
“Siyaphinda futhi sinxusa bonke labo abangakagomi ukuthi beze bezogoma.
Sisalokhu singaphansi kwama-50% wabantu abadala asebethole okungenani umjovo owodwa kanti lokho akukuhle neze.
Sinxusa intsha esikhulile ukuthi isondele.",zu,human,0
"Abafundi BakaMa tikuletsheni bakulonyaka kumele babhekane nezingqinamba eziningi ngenxa yesifo segciwane lecorona  (iCOVID-19) .
 UMnyango Wemfundo Eyi-sisekelo (i-DBE) ukuqiniseki-sile ukuthi ukuvulwa kabusha kwezikole ngendlela ephephile kungenye yezinto eziseqhu-lwini, ngokuhambisana  nezinhlelo ezehlukene  zokweseka abafundi  ukuze basizakale ekutheni baqede ngempumelelo lo nyaka wokufunda. Olunye lwezinhlelo uhlelo lweWoza Matrics , olwethulwa ngokusemthethweni mhla lulu-1 kuMandulo ngokusebenzisana nabahlanganyeli bezokusa kaza abaningi kanye nongcweti bezemfundo.",zu,human,0
"Lolu hlelo luhlose ukuthuthukisa ikhono labantwana lokufunda, ngokunciphisa ukungondleki kahle nendlala kanye nokwenza ngcono ukuya kwabo esikoleni, ikakhulukazi ezikoleni ezincishwe amathuba.
“Lolu hlelo lubaluleke kakhulu ekuqhubeleni phambili amalungelo omthethosisekelo abafundi okuthola ukondliwa kanye nemfundo eyisisekelo,"" kuchaza iPhini likaNgqongqoshe Wemfundo Eyisisekelo u-Dkt Reginah Mhaule.
Ngenxa ye-NSNP, abantwana abaningi baya esikoleni ngesikhathi futhi njalo nje, futhi nokulalela kwabo ekilasini sekungcono.
NgokoMnyango Wemfundo Eyisisekelo (i-DBE), abafundi bafundiswa imikhuba emihle yokudla kanye nendlela yokuphila.
Izikole nazo ziyagqugquzelwa ukuthi zenze izivande zazo zokudla ukuze zizokwengeza ekudleni kwe-NSNP.",zu,human,0
"hulumeni eNingizimu Afrika yonkana abakwazi ukwenza umsebenzi wabo wesikole ngenxa yohlelo lukahulumeni oluqinisekisa ukuthi izisu zabo zigcwele ukudla okunempilo.
UMnyango Wezemfundo Eyisisekelo (i-DBE), ngoku- sebenzisa uHlelo Lokuhli- nzeka Ngokudla Okune- mpilo Ezikoleni (i-NSNP), usebenze waze weqa umgo- mo wawo wokuhlinzeka ngokudla kubafundi bakule- li abangama-75%.
Umqondisi we-NSNP kulo
mnyango, uNeo Rakwena, uthe izikole eziyizi-20 619 zipheka futhi ziphakele abafundi abalinganiselwa kuzi-9 032 622 ezweni nsu- ku zonke.
Uthe izikole ezingabanda- kanywanga ohlelweni ku- mele ziqonde emahhovisi esifunda uma zifuna ukuba yingxenye yohlelo.
Onyakeni wezimali wezi- 2015/16, isabelomali esabe- lwe lolu hlelo silinganise- lwa kuzigidigidi eziyisi- 5 703 zamarandi.",zu,human,0
"Kamuva nje bengivakashele eThekwini KwaZulu-Natali ukuyohlangana nosomabhizinisi edolobheni ukuze sibasize ezinhlelweni zabo zokuvuselela imisebenzi yabo.
Kwathi lapho kugasela lo monakalo wemvelo, kwaba nokukhathazeka ngokuthi iziphathimandla zazingenawo amakhono futhi zingeke zikwazi ukubhekana ngokufanele nangokugculisayo nesimo esibucayi salabo abalahlekelwa yikho konke.
Emuva kokuvakashela leli dolobha okwesibili selokhu kwaba nezikhukhula, kungicacele ukuthi lokhu kukhathazeka kwakuyiphutha. KwaZulu-Natali, njengaseMpumalanga Kapa naseNyakatho Ntshonalanga, bonke ababambiqhaza bebesebenza kanzima ukuze lezi zifundazwe zivuke emuva komonakalo.",zu,human,0
"Ngesikhathi ‘iriphabhuli khi’ ingachazwa njengo mbuso lapho amandla ama khulu ephethwe ngabantu kanye nalabo ababamele abakhethiwe, kwakunge njalo eNingizimu Afrika.
UMthethosisekelo wombu so wobandlululo wawuthe mbisa ukuthembeka kuNku lunkulu, “owahlanganisa okhokho bethu ndawonye besuka ezindaweni eziningi wase ebanika lokhu njengo kwabo”.
KwakunguMthethosisekelo owawubhalwe futhi ubha lelwe ingcosana yababandlu lula ngokobuhlanga, futhi wawusebenzisa inkolo uku thethelela unya. Wawucacisa ukuphatha kukahulumeni, unikeza labo abamhlophe ukuthi ibona kuphela abane gunya lokuvota futhi bamele umphakathi. Wawungenawo sampela uMqulu Wamalu ngelo.",zu,human,0
"Abantu abaningi base Ningizimu Afrika asebehlonzwe njengabanegciwane lecorona (i-COVID-19)  baye bakuthole kunzima futhi kungenzeki ukuhlala ngabodwana ngoba amakhaya abo mancane ukuthi umuntu angahlala futhi alale egunjini lokulala ngaphandle kokuthi alisebenzise nomunye.Uhulumeni useqinisekisile ukuthi zikhona izikhungo zokuhlala ngawedwana neziqokelwe abantu asebesuleleke ngaleli gciwane, kanti futhi zikhona nezindawo zokugonqa labo abasalindele imiphumela yabo yokuhlolela leli gciwane. Zombili lezi zi-nsizakalo zimahhala.Ngokuka Dkt. u-Marlin McCay, ongudokotela ogxile e-Florida ese-West Rand, uthi uma usuhlonzwe nje-ngoneCOVID-19  into yokuqa la okufanele uyenze ukuthi wehlise amathuba okuthiibhebhetheke. “Ufuna ukuvikela umndeni wakho,” kusho yena.",zu,human,0
"Nakhu konke okumele ukwa zi ngokuziqalela eyakho i-B&B.  Yini i-B&B? NgokoMkhandlu Oklama Amazinga Ezokuvakasha eNingizimu Afrika, i-Tourism Grading Council of South Africa, ama-B&B ahlinzeka ngendawo yokuhlala ehlinze ka ngemisebenzi ekhethekile kuphela engatholakala ekhaya. Igumbi ngalinye kumele libe nendawo yokugezela yalo, futhi isidlo sasekuseni kumele sibalwe emananini okuhlala.
Phezu kwalokho, igumbi kumele lilungiswe nsukuzonke ngenkathi isihambeli sakho sisahlala khona.
Ama-B&B akanakuba  namagumbi ezihambeli anga phezu kwamathathu. Uma amagumbi ezihambeli engaphezu kwalokhu, ibhinizisi lakho kumele lichazwe ngokuthi i-guest house .",zu,human,0
"Ecabanga ngezinguquko zemifelandawonye emhlabeni jikelele ezilethwe ngukuphela kwempi iCold War , wabhala ukuthi amazwe kuzome le “aphinde aphose udobo lwawo” uma efuna ukuzuza ezindabeni zamazwe ngama zwe.
Kusukela kuguquko lwe zakhiwo lwangowe-1994 ngesikhathi sithatha isinqu mo sokuphuma hhayi nje kuphela kubandlululo ko dwa nakubudlelwano obu zayo bamazwe ngamazwe babaklami, umthethonqubo wezangaphandle weNingi zimu Afrika uyaqhubeka ngokwakheka ngalokhu “ku phosa udobo futhi”.
Okuseqhulwini kumthe thonqubo wezangaphandle wethu ukuhlanganiswa kwe sifunda ngokwepolitiki na ngokomnotho, ukujaha uku thuthuka kwezwekazi i-Afri ka, ukuzibandakanya kwa mazwe amaningi kanye nokugqugquzela intando yeningi labantu, ukuthola namalungelo abantu.",zu,human,0
"I-Kevali Chemicals iyinka mpani yabantu abamnyama yokuqala eFreyistata eyakha  amakhemikhali okulanza ama nzi, ezenhlanzeko kanye nawo kuhlanza izindlu zangasese kanye neglu yokunamathisela.
Le nkampani yasungulwa ngowezi-2014 abangani abahla-nu abangongoti ezimbonini zamakhemikhali, izimpahla ezithengisa ngokushesha, ukwe nziwa kwemikhiqizo, kanye nokunamathelisayo.
Umqondisi Wesigungu  Seziphathimandla we-Kevali Chemicals uFuneka Khumalo uthi i-BIS yaxhasa inkampani yakhe ukuze ithole imishini kanye nezinsiza-kusebenza ukuze iqale ukwakha kanye nokukhiqiza izinsiza zokuhla nza amanzi, ukuhlanza kanye nokubulala amagciwane kanye neglu yokunamathisela.",zu,human,0
